;;;;;;;;;;
Haftungsausschluss und Copyright;;;;;;;;;;
"Aufgrund der technischen Merkmale des Internet kann die Zertifizierungsstelle keine Gewähr für die Vollständigkeit und Richtigkeit der hier eingestellten Informationen übernehmen. Sie sollten deshalb die Richtigkeit der hier präsentierten Informationen überprüfen, insbesondere wenn sie als Grundlage für Vertragsabschlüsse dienen. 
Diese Informationen dürfen gespeichert, weitergeben und vervielfältigt, jedoch nicht verändert werden. Bei Weitergabe und Vervielfältigung wird um Quellenangabe gebeten.
Spar- und Darlehnskasse Aegidienberg eG;"Aegidiusplatz 6
53604 Bad Honnef";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Staffelzins);Spar- und Darlehnskasse Aegidienberg eG;A;003447;01.01.2002;14.10.2016;;;
Spar- und Darlehnskasse Aegidienberg eG;"Aegidiusplatz 6
53604 Bad Honnef";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Referenzzins);Spar- und Darlehnskasse Aegidienberg eG;A;003140;01.01.2002;14.10.2016;;;
Spar- und Darlehnskasse Aegidienberg eG;"Aegidiusplatz 6
53604 Bad Honnef";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (mit Bonus);Spar- und Darlehnskasse Aegidienberg eG;A;002048;01.01.2002;14.10.2016;;;
Spar- und Darlehnskasse Bockum-Hövel eG;"Berliner Str. 25
59075 Hamm";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (mit Bonus);Spar- und Darlehnskasse Bockum-Hövel e.G.;A;001615;01.01.2002;;;;
Spar- und Darlehnskasse Bockum-Hövel eG;"Berliner Str. 25
59075 Hamm";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Referenzzins);Spar- und Darlehnskasse Bockum-Hövel e.G.;A;002208;01.01.2002;;;;
Spar- und Darlehnskasse Bockum-Hövel eG;"Berliner Str. 25
59075 Hamm";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Staffelzins);Spar- und Darlehnskasse Bockum-Hövel e.G.;A;002859;01.01.2002;;;;
Spar- und Darlehnskasse Brachelen eG;"Neustr. 21
41836 Hückelhoven";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Staffelzins);Spar- und Darlehnskasse Brachelen e. G.;A;002862;01.01.2002;;;;
Spar- und Darlehnskasse eG;"Heidestr. 80
58708 Menden";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Staffelzins);Mendener Bank eG;A;002860;01.01.2002;;;;
Spar- und Darlehnskasse eG;"Raiffeisenstr. 1
26906 Dersum";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Staffelzins);Spar- und Darlehnskasse eG;A;002788;01.01.2002;;;;
Spar- und Darlehnskasse eG;"Heidestr. 80
58708 Menden";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Referenzzins);Mendener Bank eG;A;002209;01.01.2002;;;;
Spar- und Darlehnskasse eG;"Kirchstr. 10
26169 Friesoythe";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Referenzzins);Volksbank eG (Sitz Friesoythe);A;002110;01.01.2002;;;;
Spar- und Darlehnskasse eG;"Heidestr. 80
58708 Menden";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (mit Bonus);Mendener Bank eG;A;001616;01.01.2002;;;;
Spar- und Darlehnskasse eG;"Kirchstr. 10
26169 Friesoythe";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (mit Bonus);Volksbank eG (Sitz Friesoythe);A;001275;01.01.2002;;;;
Spar- und Darlehnskasse eG;"Raiffeisenstr. 1
26906 Dersum";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (mit Bonus);Spar- und Darlehnskasse eG;A;001268;01.01.2002;;;;
Spar- und Darlehnskasse eG;"Lange Str. 16
49413 Dinklage";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (mit Bonus);VR-BANK Dinklage-Steinfeld eG;A;001269;01.01.2002;;;;
Spar- und Darlehnskasse eG;"Kirchstr. 10
26169 Friesoythe";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Staffelzins);Volksbank eG (Sitz Friesoythe);A;002793;01.01.2002;;;;
Spar- und Darlehnskasse eG;"Raiffeisenstr. 1
26906 Dersum";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Referenzzins);Spar- und Darlehnskasse eG;A;002104;01.01.2002;;;;
Spar- und Darlehnskasse eG;"Lange Str. 16
49413 Dinklage";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Referenzzins);VR-BANK Dinklage-Steinfeld eG;A;002105;01.01.2002;;;;
Spar- und Darlehnskasse Minden-Porta Westfalica eG;"Markt 22-26
32423 Minden";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (mit Bonus);Volksbank in Ostwestfalen eG ;A;001678;01.01.2002;01.03.2021;;;
Spar- und Darlehnskasse Minden-Porta Westfalica eG;"Markt 22-26
32423 Minden";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Referenzzins);Volksbank in Ostwestfalen eG ;A;002320;01.01.2002;;;;
Spar- und Darlehnskasse Minden-Porta Westfalica eG;"Markt 22-26
32423 Minden";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Staffelzins);Volksbank in Ostwestfalen eG ;A;003208;01.01.2002;01.03.2021;;;
Spar- und Darlehnskasse Neuenwalde eG;"Bederkesaer Str. 1
27607 Langen ";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Staffelzins);Volksbank Geeste-Nord eG;A;003442;01.01.2002;;;;
Spar- und Darlehnskasse Neuenwalde eG;"Bederkesaer Str. 1
27607 Langen ";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Referenzzins);Volksbank Geeste-Nord eG;A;003135;01.01.2002;;;;
Spar- und Darlehnskasse Neuenwalde eG;"Bederkesaer Str. 1
27607 Langen ";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (mit Bonus);Volksbank Geeste-Nord eG;A;002043;01.01.2002;;;;
Spar- und Darlehnskasse Oeventrop eG;"Oemberg 6
59823 Arnsberg";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Referenzzins);Volksbank im Hochsauerland eG;A;002335;01.01.2002;;;;
Spar- und Darlehnskasse Schloß Holte- Stukenbrock eG;"Hauptstr. 10
33758 Schloß Holte-Stukenbrock";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (mit Bonus);Spar- und Darlehnskasse Schloß Holte-Stukenbrock eG;A;001716;01.01.2002;;;;
Spar- und Darlehnskasse Schloß Holte-Stukenbrock eG;"Hauptstr. 10
33758 Schloß Holte-Stukenbrock";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Referenzzins);Spar- und Darlehnskasse Schloß Holte-Stukenbrock eG;A;002359;01.01.2002;;;;
Spar- und Darlehnskasse Schloß Holte-Stukenbrock eG;"Hauptstr. 10
33758 Schloß Holte-Stukenbrock";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Staffelzins);Spar- und Darlehnskasse Schloß Holte-Stukenbrock eG;A;003246;01.01.2002;;;;
Spar- und Darlehnskasse Stockhausen eG;"Altefeldstr. 3
36358 Herbstein";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Staffelzins);Spar- und Darlehnskasse Stockhausen eG;A;003421;01.01.2002;;;;
Spar- und Darlehnskasse Zell eG;"Michelstädter Str. 7-9
64732 Bad König";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Staffelzins);Spar- und Darlehnskasse Zell eG;A;003419;01.01.2002;;;;
Spar- und Darlehnskasse Zell eG;"Michelstädter Str. 7-9
64732 Bad König";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Referenzzins);Spar- und Darlehnskasse Zell eG;A;003112;01.01.2002;;;;
Spar- und Darlehnskasse Zell eG;"Michelstädter Str. 7-9
64732 Bad König";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (mit Bonus);Spar- und Darlehnskasse Zell eG;A;002019;01.01.2002;;;;
Spar- und Kreditbank Bühlertal eG;"Hauptstr. 67
77830 Bühlertal";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (mit Bonus);Spar- und Kreditbank Bühlertal eG;A;001874;01.01.2002;;;;
Spar- und Kreditbank des Bundes Freier evangelischer Gemeinden eG;"Goltenkamp 4
58452 Witten";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (mit Bonus);Spar- und Kreditbank des Bundes Freier evangelischer Gemeinden eG;A;000860;01.01.2002;;;;
Spar- und Kreditbank des Bundes Freier evangelischer Gemeinden eG;"Goltenkamp 4
58452 Witten";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Referenzzins);Spar- und Kreditbank des Bundes Freier evangelischer Gemeinden eG;A;001428;01.01.2002;;;;
Spar- und Kreditbank des Bundes Freier evangelischer Gemeinden eG;"Goltenkamp 4
58452 Witten";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Staffelzins);Spar- und Kreditbank des Bundes Freier evangelischer Gemeinden eG;A;002276;01.01.2002;;;;
Spar- und Kreditbank eG;"Hauptstr. 3
75223 Niefern-Öschelbronn";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Staffelzins);VR Bank im Enzkreis eG;A;002476;01.01.2002;;;;
Spar- und Kreditbank eG;"Hauptstr. 3
75223 Niefern-Öschelbronn";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Referenzzins);VR Bank im Enzkreis eG;A;001567;01.01.2002;;;;
Spar- und Kreditbank eG;"Hauptstr. 3
75223 Niefern-Öschelbronn";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (mit Bonus);VR Bank im Enzkreis eG;A;001005;01.01.2002;;;;
Spar- und Kreditbank Hardt eG;"Schwarzwaldstr. 1
76344 Eggenstein-Leopoldshafen";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (mit Bonus);Spar- und Kreditbank Hardt eG;A;000998;01.01.2002;;;;
Spar- und Kreditbank Rheinstetten eG;"Badener Str. 3
76287 Rheinstetten";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (mit Bonus);Spar- und Kreditbank Rheinstetten eG;A;001003;01.01.2002;;;;
Spar- und Kreditbank Rheinstetten eG;"Badener Str. 3
76287 Rheinstetten";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Staffelzins);Spar- und Kreditbank Rheinstetten eG;A;002473;01.01.2002;;;;
Spar- und Leihkasse zu Bredstedt;"Markt 29
25821 Bredstedt";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Sparkonto mit Zinsansammlung) 157.816.000 + 157.815.001;Nord-Ostsee Sparkasse;A;003051;01.01.2002;01.01.2014;;;
Spar- und Leihkasse zu Bredstedt;"Markt 29
25821 Bredstedt";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Sparkonto mit Zinsansammlung 157.810.000 157.800.001);Nord-Ostsee Sparkasse;A;000299;01.01.2002;01.01.2014;;;
Spar- und Leihkasse zu Bredstedt;"Markt 29
25821 Bredstedt";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Sparkonto mit Zinsansammlung) 157.815.000 + 157.815.001;Nord-Ostsee Sparkasse;A;000691;01.03.2018;01.01.2014;;;
Spar- und Leihkasse zu Bredstedt AG;"Markt 29
25821 Bredstedt";Sparkassen-Riesterdarlehen;Nord-Ostsee Sparkasse;A;004255;01.11.2008;01.01.2017;;;
Spar- und Leihkasse zu Bredstedt AG;"Markt 29
25821 Bredstedt";SVorsorgePlus 157.850.000;Nord-Ostsee Sparkasse;A;004573;12.02.2010;;;;
Sparda-Bank Augsburg eG;"Prinzregentenstr. 23
86150 Augsburg";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (mit Bonus);Sparda-Bank Augsburg eG;A;000969;01.01.2002;19.04.2010;;;
Sparda-Bank Augsburg eG;"Prinzregentenstr. 23
86150 Augsburg";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Referenzzins);Sparda-Bank Augsburg eG;A;001536;01.01.2002;19.04.2010;;;
Sparda-Bank Augsburg eG;"Prinzregentenstr. 23
86150 Augsburg";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Staffelzins);Sparda-Bank Augsburg eG;A;002436;01.01.2002;19.04.2010;;;
Sparda-Bank Berlin eG;"Storkower Str. 101A
10407 Berlin";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Staffelzins);Sparda-Bank Berlin eG;A;002450;01.01.2002;;;;
Sparda-Bank Berlin eG;"Storkower Str. 101A
10407 Berlin";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Referenzzins);Sparda-Bank Berlin eG;A;001550;01.01.2002;;;;
Sparda-Bank Berlin eG;"Storkower Str. 101A
10407 Berlin";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (mit Bonus);Sparda-Bank Berlin eG;A;000986;01.01.2002;;;;
Sparda-Bank Essen eG;"Kruppstr. 41
45128 Essen";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (mit Bonus);Sparda-Bank West eG;A;000978;01.01.2002;;;;
Sparda-Bank Essen eG;"Kruppstr. 41
45128 Essen";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Referenzzins);Sparda-Bank West eG;A;001544;01.01.2002;;;;
Sparda-Bank Essen eG;"Kruppstr. 41
45128 Essen";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Staffelzins);Sparda-Bank West eG;A;002444;01.01.2002;;;;
Sparda-Bank Frankfurt (Main) eG;"Güterstr. 1
60327 Frankfurt/M";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Staffelzins);Sparda-Bank Hessen eG;A;002441;01.01.2002;;;;
Sparda-Bank Frankfurt (Main) eG;"Güterstr. 1
60327 Frankfurt am Main";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Referenzzins);Sparda-Bank Hessen eG;A;001541;01.01.2002;;;;
Sparda-Bank Frankfurt (Main) eG;"Güterstr. 1
60327 Frankfurt am Main";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (mit Bonus);Sparda-Bank Hessen eG;A;000975;01.01.2002;;;;
Sparda-Bank Hamburg eG;"Präsident-Krahn-Str. 16-17
22765 Hamburg";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (mit Bonus);SPARDA-BANK HAMBURG eG;A;000974;01.01.2002;;;;
Sparda-Bank Hamburg eG;"Präsident-Krahn-Str. 16-17
22765 Hamburg";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Referenzzins);SPARDA-BANK HAMBURG eG;A;001540;01.01.2002;;;;
Sparda-Bank Hamburg eG;"Präsident-Krahn-Str. 16-17
22765 Hamburg";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Staffelzins);SPARDA-BANK HAMBURG eG;A;002440;01.01.2002;;;;
Sparda-Bank Hannover eG;"Ernst-August-Platz 8
30159 Hannover";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Staffelzins);Sparda-Bank Hannover eingetragene Genossenschaft;A;002443;01.01.2002;;;;
Sparda-Bank Hannover eG;"Ernst-August-Platz 8
30159 Hannover";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Referenzzins);Sparda-Bank Hannover eingetragene Genossenschaft;A;001543;01.01.2002;;;;
Sparda-Bank Hannover eG;"Ernst-August-Platz 8
30159 Hannover";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (mit Bonus);Sparda-Bank Hannover eingetragene Genossenschaft;A;000977;01.01.2002;;;;
Sparda-Bank Kassel eG;"Friedrich-Ebert-Str. 4
34117 Kassel";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (mit Bonus);Sparda-Bank Hessen eG;A;000976;01.01.2002;;;;
Sparda-Bank Kassel eG;"Friedrich-Ebert-Str. 4
34117 Kassel";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Referenzzins);Sparda-Bank Hessen eG;A;001542;01.01.2002;;;;
Sparda-Bank Kassel eG;"Friedrich-Ebert-Str. 4
34117 Kassel";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Staffelzins);Sparda-Bank Hessen eG;A;002442;01.01.2002;;;;
Sparda-Bank Köln eG;"Riehler Str. 3
50668 Köln";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Staffelzins);Sparda-Bank Köln eG;A;002445;01.01.2002;;;;
Sparda-Bank Köln eG;"Riehler Str. 3
50668 Köln";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Referenzzins);Sparda-Bank Köln eG;A;001545;01.01.2002;;;;
Sparda-Bank Köln eG;"Riehler Str. 3
50668 Köln";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (mit Bonus);Sparda-Bank Köln eG;A;000979;01.01.2002;;;;
Sparda-Bank München eG;"Arnulfstr. 15
80335 München";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (mit Bonus);Sparda-Bank München eingetragene Genossenschaft;A;000971;01.01.2002;;;;
Sparda-Bank München eG;"Arnulfstr. 15
80335 München";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Referenzzins);Sparda-Bank München eingetragene Genossenschaft;A;001537;01.01.2002;;;;
Sparda-Bank München eG;"Arnulfstr. 15
80335 München";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Staffelzins);Sparda-Bank München eingetragene Genossenschaft;A;002437;01.01.2002;;;;
Sparda-Bank Münster (Westf.) eG;"Joseph-König-Str. 3
48147 Münster";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (mit Bonus);Sparda-Bank Münster eG;A;000980;01.01.2002;;;;
Sparda-Bank Nürnberg eG;"Eilgutstr. 9
90443 Nürnberg";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (mit Bonus);SPARDA-BANK NÜRNBERG eG;A;000972;01.01.2002;;;;
Sparda-Bank Nürnberg eG;"Eilgutstr. 9
90443 Nürnberg";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Staffelzins);SPARDA-BANK NÜRNBERG eG;A;002438;01.01.2002;;;;
Sparda-Bank Nürnberg eG;"Eilgutstr. 9
90443 Nürnberg";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Referenzzins);SPARDA-BANK NÜRNBERG eG;A;001538;01.01.2002;;;;
Sparda-Bank Regensburg eG;"Bahnhofstr. 5
93047 Regensburg";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Referenzzins);Sparda-Bank Ostbayern eG;A;001539;01.01.2002;;;;
Sparda-Bank Regensburg eG;"Bahnhofstr. 5
93047 Regensburg";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Staffelzins);Sparda-Bank Ostbayern eG;A;002439;01.01.2002;;;;
Sparda-Bank Regensburg eG;"Bahnhofstr. 5
93047 Regensburg";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (mit Bonus);Sparda-Bank Ostbayern eG;A;000973;01.01.2002;;;;
Sparda-Bank Südwest eG;55001 Mainz;Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (mit Bonus);Sparda-Bank Südwest eG;A;000982;01.01.2002;;;;
Sparda-Bank Südwest eG;55001 Mainz;Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Staffelzins);Sparda-Bank Südwest eG;A;002447;01.01.2002;;;;
Sparda-Bank Südwest eG;55001 Mainz;Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Referenzzins);Sparda-Bank Südwest eG;A;001547;01.01.2002;;;;
Sparda-Bank Wuppertal eG;"Döppersberg 41
42103 Wuppertal";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Referenzzins);Sparda-Bank Wuppertal eG;A;001546;01.01.2002;;;;
Sparda-Bank Wuppertal eG;"Döppersberg 41
42103 Wuppertal";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Staffelzins);Sparda-Bank Wuppertal eG;A;002446;01.01.2002;;;;
Sparda-Bank Wuppertal eG;"Döppersberg 41
42103 Wuppertal";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (mit Bonus);Sparda-Bank Wuppertal eG;A;000981;01.01.2002;;;;
Sparkasse Aachen;"Friedrich-Wilhelm-Platz 1-4 und Münsterplatz 7-9
52062 Aachen";Sparkassen-Riesterdarlehen;Sparkasse Aachen;A;004036;01.11.2008;01.01.2017;;;
Sparkasse Aachen;"Münsterplatz 7-9 / Friedr.-Wilh.-Pl.1-4
52062 Aachen";SVorsorgePlus 157.850.000;Sparkasse Aachen;A;005051;21.06.2010;;;;
Sparkasse Aachen;"Münsterplatz 7-9 / Friedr.-Wilh.-Pl.1-4
52062 Aachen";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Sparkonto mit Zinsansammlung) 157.816.000 + 157.815.001;Sparkasse Aachen;A;003055;01.01.2002;01.01.2014;;;
Sparkasse Aachen;"Münsterplatz 7-9 / Friedr.-Wilh.-Pl.1-4
52062 Aachen";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Sparkonto mit Zinsansammlung) 157.815.000 + 157.815.001;Sparkasse Aachen;A;000696;01.03.2018;01.01.2014;;;
Sparkasse Ahlen;"Moltkestr. 38
59229 Ahlen";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Sparkonto mit Zinsansammlung) 157.815.000 + 157.815.001;Sparkasse Ahlen;A;000510;01.03.2018;01.01.2014;;;
Sparkasse Allgäu;"Königstr. 21
87435 Kempten ";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Sparkonto mit Zinsansammlung) 157.805.000 + 157.805.001;Sparkasse Allgäu;A;000341;21.01.2013;01.12.2012;;;
Sparkasse Allgäu;"Königstr. 21
87435 Kempten (Allgäu)";SVorsorgePlus 157.850.000;Sparkasse Allgäu;A;004757;12.02.2010;;;;
Sparkasse Allgäu;"Königstr. 21
87435 Kempten (Allgäu)";Sparkassen-Riesterdarlehen;Sparkasse Allgäu;A;004126;01.11.2008;01.01.2017;;;
Sparkasse Altenburger Land;"Wettinerstr. 1
04600 Altenburg, Thür";Sparkassen-Riesterdarlehen;Sparkasse Altenburger Land;A;004020;01.11.2008;01.01.2017;;;
Sparkasse Altenburger Land;"Wettinerstraße 1
04600 Altenburg, Thür";SVorsorgeFlexibel 157.860.000;Sparkasse Altenburger Land;A;005439;04.01.2011;;;;
Sparkasse Altenburger Land;"Wettinerstraße 1
04600 Altenburg, Thür";SVorsorgePlus 157.850.000;Sparkasse Altenburger Land;A;005010;21.06.2010;;;;
