id;einwilligung_teaser;aenderungsmitteilung;name_anbieter;kurzbeschreibung_des_anbieters;kurzbeschreibung_des_angebots;art_der_ermaessigung;website;strasse_und_hausnummer_des_angebots;plz_und_ort_des_angebots;gratis;kategorie;zielgruppen;freigabe;ansprechperson_anrede;ansprechperson_name;ansprechperson_email;einwilligung;empfaenger_recipient;empfaenger_subject;create_date;update_date
335;;;"ANOHA. Die Kinderwelt des Jüdischen Museums Berlin";"Thematisch orientiert sich die Kinderwelt Anoha an der Geschichte der Arche Noah aus der Tora und bieten kleinen Besuchern rund 2.700 Quadratmeter zum Forschen, Entdecken und Spielen.";;"freier Eintritt";https://anoha.de/;Fromet-und-Moses-Mendelssohn-Platz;"10969 Berlin";ja;Kultur;"Kinder, Familie";;;;;;;;"2025-10-28 15:22:34";"2025-02-24 14:50:24"
336;;;Amerika-Gedenkbiliothek;"Die Amerika-Gedenkbibliothek ist eine der größten öffentlichen Bibliotheken Berlins. Sie war ein Geschenk der Vereinigten Staaten an die Berliner. Aus Mitteln des Marshall-Plans finanziert, wurde sie 1954 in West-Berlin zur Durchsetzung von Bildungs- und Meinungsfreiheit gegründet.";;"kostenloser Bibliotheksausweis";www.zlb.de;"Blücherpl. 1";"10961 Berlin";ja;"Bildung & Beratung";"Erwachsene, Senioren";;;;;;;;"2025-10-29 15:22:34";"2025-02-24 14:50:25"
337;;;"SAMURAI Museum Berlin";"Die Sammlung des Samurai Museum zeigt Rüstungen, Schwerter und weitere Stücke der Samurai Kunst aus dem 8. bis 19. Jahrhundert.";;"Ninja? Ronin? Samurai! Folgen Sie dem Fuchs Kitsune durch das Leben und Erbe der legendären Kämpfer, die viele bereits aus Popkultur, Manga, Anime und Gaming kennen. Multimediale Installationen laden zur Entdeckungsreise ein in Europas erstem Samurai Museum. Einzigartige No und Taiko Vorführungen, die japanische Schwertschmiedekunst, Gigapixelbilder und interaktive Ausstellungsobjekte sind ein Erlebnis für die gesamte Familie . Kinder unter 18 Jahren freier Eintritt, Erwachsene ermäßigt (5-11 Euro Dynamic Pricing)";https://samuraimuseum.de/;"Auguststraße 68";"10117 Berlin";nein;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-10-30 15:22:34";"2025-02-24 14:50:25"
339;;;"Foxtrail-Folge der Spur";"Findet den Fuchs im Großstadt-Dschungel. Wir mixen das Beste aus Schnitzeljagd, Sightseeing und Outdoor Escape Game.";;"22 Euro pro Erwachsener (regulär 27 Euro) 12 Euro pro Kind (regulär 15 Euro)";www.foxtrail.de;"Reinhardtstraße 6";"10117 Berlin";nein;Freizeit;"Kinder, Familie";;;;;;;;"2025-11-01 15:22:34";"2025-02-24 14:50:26"
340;;;"Krumulus - Buchhandlung, Galerie und Druckwerkstatt";"Die Buchhandlung ist spezialisiert auf Kinder- und Jugendbücher, mit besonderem Fokus auf Bilderbücher und Illustrationskunst. ";;"Druckkurse und kreative Workshops für Kinder (Normalpreis 10-15 Euro) werden für Inhaber*innen eines Nachweises um 5  ermäßigt";http://www.krumulus.com/;"Südstern 4";"10961 Berlin";nein;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-11-02 15:22:34";"2025-02-24 14:50:27"
341;;;"Schloss Biesdorf";"Das Schloss Biesdorf zeigt als kommunale Galerie des Bezirkes Marzahn-Hellersdorf wechselnde Ausstellungen zeitgenössischer Kunst und des kulturellen Erbes sowie eine kleine Dauerausstellung zur Geschichte des Hauses.";;"Freier Eintritt";https://schlossbiesdorf.de/;"Alt-Biesdorf 55";"12683 Berlin";ja;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-11-03 15:22:34";"2025-02-27 16:52:56"
342;;ja;"Galerie im Turm";"Die Galerie im Turm wurde 1965 als Ausstellungsort des Verbandes Bildender Künstler der DDR (VBKD) gegründet und befindet sich seit über 50 Jahren im Erdgeschoss des von Hermann Henselmann entworfenen Nordturms am Frankfurter Tor. Seit 1990 fungiert sie als kommunale Galerie des Bezirkes.";;"Freier Eintritt";https://galerie-im-turm.net/;"Frankfurter Tor 1";"10243 Berlin";ja;Kultur;"Erwachsene, Senioren, Familie";;Frau;"Melina Gentner";galerie-im-turm.net;ja;gentner@galerie-im-turm.net;;"2025-11-04 15:22:34";"2025-04-25 09:53:42"
343;;;"Sommerkino am Kulturforum";"Im Sommer verwandelt  sich das Kulturforum am Potsdamer Platz wieder in unser Sommerkino mit Panoramablick.";;"Berechtigte zahlen nur 6 Euro (plus ggf .Überlängenzuschlag).";https://www.yorck.de/kinos/sommerkino-kulturforum?sort=Popularity&date=2024-09-20&tab=daily&sessionsExpanded=false&film=;"Matthäikirchplatz 4/6";"10785 Berlin";nein;Freizeit;"Erwachsene, Senioren, Familie";;;;;;;;"2025-11-05 15:22:34";"2025-02-24 14:50:28"
344;;;"Friedrichwerdersche Kirche";"Die Friedrichswerdersche Kirche wurde von Karl Friedrich Schinkel entworfen und von 1824 bis 1830  nahezu zeitgleich mit seinem Alten Museum  erbaut.";;"Freier Eintritt";https://www.smb.museum/museen-einrichtungen/friedrichswerdersche-kirche/home/;"Werderscher Markt";"10117 Berlin";ja;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-11-06 15:22:34";"2025-02-24 14:50:28"
345;;;James-Simon-Galerie;"Das neue Entrée zum Welterbe Museumsinsel beherbergt einen Sonderausstellungsraum, ein Auditorium, Garderoben, Ticketschalter, einen Shop und ein Café. 6.12.24-27.04.25 - Planet Africa - Eine archäologische Zeitreise";;"Freier Eintritt";https://www.smb.museum/museen-einrichtungen/james-simon-galerie/home/;Bodestraße;"10178 Berlin";ja;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-11-07 15:22:34";"2025-02-24 14:50:28"
346;;;Deutschlandmuseum;"Erlebe 2.000 Jahre deutsche Geschichte mit allen Sinnen in Berlins immersiver Erlebnisausstellung direkt am Potsdamer Platz!";;"ermäßigter Eintritt";www.deutschlandmuseum.de;"Leipziger Platz 7";"10117 Berlin";nein;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-11-08 15:22:34";"2025-02-24 14:50:29"
347;;;"Kombibad Gropiusstadt";"Empfängerinnen und Empfänger von Arbeitslosengeld II, Sozialgeld, Sozialhilfe, Leistungen zur Grundsicherung im Alter, bei Erwerbsminderungen oder nach dem Asylbewerberleistungsgesetz (Nachweis erforderlich)";;Ermäßigungstarife;https://www.berlinerbaeder.de/;"Lipschitzallee 27-33";"12351 Berlin";nein;Freizeit;"Erwachsene, Senioren, Familie";;;;;;;;"2025-11-09 15:22:34";"2025-02-24 14:50:29"
348;;;"Kombibad Seestraße";"Empfängerinnen und Empfänger von Arbeitslosengeld II, Sozialgeld, Sozialhilfe, Leistungen zur Grundsicherung im Alter, bei Erwerbsminderungen oder nach dem Asylbewerberleistungsgesetz (Nachweis erforderlich)";;Ermäßigungstarife;https://www.berlinerbaeder.de/;"Seestraße 80";"13347 Berlin";nein;Freizeit;"Erwachsene, Senioren, Familie";;;;;;;;"2025-11-10 15:22:34";"2025-02-24 14:50:30"
349;;;"Kombibad Spandau Süd";"Empfängerinnen und Empfänger von Arbeitslosengeld II, Sozialgeld, Sozialhilfe, Leistungen zur Grundsicherung im Alter, bei Erwerbsminderungen oder nach dem Asylbewerberleistungsgesetz (Nachweis erforderlich)";;Ermäßigungstarife;https://www.berlinerbaeder.de/;"Gatower Straße 19";"13595 Berlin";nein;Freizeit;"Erwachsene, Senioren, Familie";;;;;;;;"2025-11-11 15:22:34";"2025-02-24 14:50:30"
350;;;"Schwimm- und Sprunghalle im Europasportpark";"Empfängerinnen und Empfänger von Arbeitslosengeld II, Sozialgeld, Sozialhilfe, Leistungen zur Grundsicherung im Alter, bei Erwerbsminderungen oder nach dem Asylbewerberleistungsgesetz (Nachweis erforderlich)";;Ermäßigungstarife;https://www.berlinerbaeder.de/;"Paul-Heyse-Straße 26";"10407 Berlin";nein;Freizeit;"Erwachsene, Senioren, Familie";;;;;;;;"2025-11-12 15:22:34";"2025-02-24 14:50:30"
351;;;"Schwimmhalle Allendeviertel";"Empfängerinnen und Empfänger von Arbeitslosengeld II, Sozialgeld, Sozialhilfe, Leistungen zur Grundsicherung im Alter, bei Erwerbsminderungen oder nach dem Asylbewerberleistungsgesetz (Nachweis erforderlich)";;Ermäßigungstarife;https://www.berlinerbaeder.de/;"Pablo-Neruda-Straße 5";"12559 Berlin";nein;Freizeit;"Erwachsene, Senioren, Familie";;;;;;;;"2025-11-13 15:22:34";"2025-02-24 14:50:31"
352;;;"Schwimmhalle Anton-Saefkow-Platz";"Empfängerinnen und Empfänger von Arbeitslosengeld II, Sozialgeld, Sozialhilfe, Leistungen zur Grundsicherung im Alter, bei Erwerbsminderungen oder nach dem Asylbewerberleistungsgesetz (Nachweis erforderlich)";;Ermäßigungstarife;https://www.berlinerbaeder.de/;"Anton-Saefkow-Platz 1";"10369 Berlin";nein;Freizeit;"Erwachsene, Senioren, Familie";;;;;;;;"2025-11-14 15:22:34";"2025-02-24 14:50:31"
353;;;"Schwimmhalle Baumschulenweg";"Empfängerinnen und Empfänger von Arbeitslosengeld II, Sozialgeld, Sozialhilfe, Leistungen zur Grundsicherung im Alter, bei Erwerbsminderungen oder nach dem Asylbewerberleistungsgesetz (Nachweis erforderlich)";;Ermäßigungstarife;https://www.berlinerbaeder.de/;"Neue Krugallee";"12437 Berlin";nein;Freizeit;"Erwachsene, Senioren, Familie";;;;;;;;"2025-11-15 15:22:34";"2025-02-24 14:50:32"
354;;;"Schwimhalle Buch";"Empfängerinnen und Empfänger von Arbeitslosengeld II, Sozialgeld, Sozialhilfe, Leistungen zur Grundsicherung im Alter, bei Erwerbsminderungen oder nach dem Asylbewerberleistungsgesetz (Nachweis erforderlich)";;Ermäßigungstarife;https://www.berlinerbaeder.de/;"Wolfgang-Heinz-Straße 41";"13125 Berlin";nein;Freizeit;"Erwachsene, Senioren, Familie";;;;;;;;"2025-11-16 15:22:34";"2025-02-24 14:50:32"
355;;;"Schwimmhalle Ernst-Thälmann-Park";"Empfängerinnen und Empfänger von Arbeitslosengeld II, Sozialgeld, Sozialhilfe, Leistungen zur Grundsicherung im Alter, bei Erwerbsminderungen oder nach dem Asylbewerberleistungsgesetz (Nachweis erforderlich)";;Ermäßigungstarife;https://www.berlinerbaeder.de/;"Lilli-Hennoch-Straße 20";"10405 Berlin";nein;Freizeit;"Erwachsene, Senioren, Familie";;;;;;;;"2025-11-17 15:22:34";"2025-02-24 14:50:32"
356;;;"Schwimmhalle Finckensteinallee";"Empfängerinnen und Empfänger von Arbeitslosengeld II, Sozialgeld, Sozialhilfe, Leistungen zur Grundsicherung im Alter, bei Erwerbsminderungen oder nach dem Asylbewerberleistungsgesetz (Nachweis erforderlich)";;Ermäßigungstarife;https://www.berlinerbaeder.de/;"Finkensteinallee 73";"12205 Berlin";nein;Freizeit;"Erwachsene, Senioren, Familie";;;;;;;;"2025-11-18 15:22:34";"2025-04-24 10:25:53"
357;;;"Schwimmhalle Fischerinsel";"Empfängerinnen und Empfänger von Arbeitslosengeld II, Sozialgeld, Sozialhilfe, Leistungen zur Grundsicherung im Alter, bei Erwerbsminderungen oder nach dem Asylbewerberleistungsgesetz (Nachweis erforderlich)";;Ermäßigungstarife;https://www.berlinerbaeder.de/;"Fischerinsel 11";"10179 Berlin";nein;Freizeit;"Erwachsene, Senioren, Familie";;;;;;;;"2025-11-19 15:22:34";"2025-02-24 14:50:34"
358;;;"Schwimmhalle Forumbad Olympiastadion";"Empfängerinnen und Empfänger von Arbeitslosengeld II, Sozialgeld, Sozialhilfe, Leistungen zur Grundsicherung im Alter, bei Erwerbsminderungen oder nach dem Asylbewerberleistungsgesetz (Nachweis erforderlich)";;Ermäßigungstarife;https://www.berlinerbaeder.de/;Hanns-Braun-Straße;"14053 Berlin";nein;Freizeit;"Erwachsene, Senioren, Familie";;;;;;;;"2025-11-20 15:22:34";"2025-02-24 14:50:34"
359;;;"Schwimmhalle Helene-Weigel-Platz Helmut Behrendt";"Empfängerinnen und Empfänger von Arbeitslosengeld II, Sozialgeld, Sozialhilfe, Leistungen zur Grundsicherung im Alter, bei Erwerbsminderungen oder nach dem Asylbewerberleistungsgesetz (Nachweis erforderlich)";;Ermäßigungstarife;https://www.berlinerbaeder.de/;"Helene-Weigel-Platz 9";"12681 Berlin";nein;Freizeit;"Erwachsene, Senioren, Familie";;;;;;;;"2025-11-21 15:22:34";"2025-02-24 14:50:34"
360;;;"Schwimmhalle Hüttenweg";"Empfängerinnen und Empfänger von Arbeitslosengeld II, Sozialgeld, Sozialhilfe, Leistungen zur Grundsicherung im Alter, bei Erwerbsminderungen oder nach dem Asylbewerberleistungsgesetz (Nachweis erforderlich)";;Ermäßigungstarife;https://www.berlinerbaeder.de/;"Hüttenweg 41";"14195 Berlin";nein;Freizeit;"Erwachsene, Senioren, Familie";;;;;;;;"2025-11-22 15:22:34";"2025-02-24 14:50:35"
361;;;"Schwimmhalle Kaulsdorf";"Empfängerinnen und Empfänger von Arbeitslosengeld II, Sozialgeld, Sozialhilfe, Leistungen zur Grundsicherung im Alter, bei Erwerbsminderungen oder nach dem Asylbewerberleistungsgesetz (Nachweis erforderlich)";;Ermäßigungstarife;https://www.berlinerbaeder.de/;"Clara-Zetkin-Weg 13";"12619 Berlin";nein;Freizeit;"Erwachsene, Senioren, Familie";;;;;;;;"2025-11-23 15:22:34";"2025-02-24 14:50:35"
362;;;"Schwimmhalle Kreuzberg";"Empfängerinnen und Empfänger von Arbeitslosengeld II, Sozialgeld, Sozialhilfe, Leistungen zur Grundsicherung im Alter, bei Erwerbsminderungen oder nach dem Asylbewerberleistungsgesetz (Nachweis erforderlich)";;Ermäßigungstarife;https://www.berlinerbaeder.de/;"Gitschiner Straße 18";"10969 Berlin";nein;Freizeit;"Erwachsene, Senioren, Familie";;;;;;;;"2025-11-24 15:22:34";"2025-02-24 14:50:35"
363;;;"Schwimmhalle Sewanstraße";"Empfängerinnen und Empfänger von Arbeitslosengeld II, Sozialgeld, Sozialhilfe, Leistungen zur Grundsicherung im Alter, bei Erwerbsminderungen oder nach dem Asylbewerberleistungsgesetz (Nachweis erforderlich)";;Ermäßigungstarife;https://www.berlinerbaeder.de/;"Sewanstraße 229";"10319 Berlin";nein;Freizeit;"Erwachsene, Senioren, Familie";;;;;;;;"2025-11-25 15:22:34";"2025-02-24 14:50:36"
364;;;"Schwimmhalle Thomas-Mann-Straße";"Empfängerinnen und Empfänger von Arbeitslosengeld II, Sozialgeld, Sozialhilfe, Leistungen zur Grundsicherung im Alter, bei Erwerbsminderungen oder nach dem Asylbewerberleistungsgesetz (Nachweis erforderlich)";;Ermäßigungstarife;https://www.berlinerbaeder.de/;"Thomas-Mann-Straße 3";"10409 Berlin";nein;Freizeit;"Erwachsene, Senioren, Familie";;;;;;;;"2025-11-26 15:22:34";"2025-02-24 14:50:36"
365;;;"Sport- und Lehrschwimmhalle Schöneberg";"Empfängerinnen und Empfänger von Arbeitslosengeld II, Sozialgeld, Sozialhilfe, Leistungen zur Grundsicherung im Alter, bei Erwerbsminderungen oder nach dem Asylbewerberleistungsgesetz (Nachweis erforderlich)";;Ermäßigungstarife;https://www.berlinerbaeder.de/;"Sachsendamm 11";"10829 Berlin";nein;Freizeit;"Erwachsene, Senioren, Familie";;;;;;;;"2025-11-27 15:22:34";"2025-02-24 14:50:37"
366;;;"Sportforum Hohneschönhausen";"Empfängerinnen und Empfänger von Arbeitslosengeld II, Sozialgeld, Sozialhilfe, Leistungen zur Grundsicherung im Alter, bei Erwerbsminderungen oder nach dem Asylbewerberleistungsgesetz (Nachweis erforderlich)";;Ermäßigungstarife;https://www.berlinerbaeder.de/;"Fritz-Lesch-Straße 24";"13053 Berlin";nein;Freizeit;"Erwachsene, Senioren, Familie";;;;;;;;"2025-11-28 15:22:34";"2025-02-24 14:50:37"
367;;;"Stadtbad Charlottenburg - Alte Halle";"Empfängerinnen und Empfänger von Arbeitslosengeld II, Sozialgeld, Sozialhilfe, Leistungen zur Grundsicherung im Alter, bei Erwerbsminderungen oder nach dem Asylbewerberleistungsgesetz (Nachweis erforderlich)";;Ermäßigungstarife;https://www.berlinerbaeder.de/;"Krumme Straße 10";"10585 Berlin";nein;Freizeit;"Erwachsene, Senioren, Familie";;;;;;;;"2025-11-29 15:22:34";"2025-02-24 14:50:37"
368;;;"Stadtbad Lankwitz";"Empfängerinnen und Empfänger von Arbeitslosengeld II, Sozialgeld, Sozialhilfe, Leistungen zur Grundsicherung im Alter, bei Erwerbsminderungen oder nach dem Asylbewerberleistungsgesetz (Nachweis erforderlich)";;Ermäßigungstarife;https://www.berlinerbaeder.de/;"Leonorenstraße 39";"12247 Berlin";nein;Freizeit;"Erwachsene, Senioren, Familie";;;;;;;;"2025-11-30 15:22:34";"2025-02-24 14:50:38"
369;;;"Stadtbad Märkisches Viertel";"Empfängerinnen und Empfänger von Arbeitslosengeld II, Sozialgeld, Sozialhilfe, Leistungen zur Grundsicherung im Alter, bei Erwerbsminderungen oder nach dem Asylbewerberleistungsgesetz (Nachweis erforderlich)";;Ermäßigungstarife;https://www.berlinerbaeder.de/;"Wilhelmsruher Damm 142 D";"13439 Berlin";nein;Freizeit;"Erwachsene, Senioren, Familie";;;;;;;;"2025-12-01 15:22:34";"2025-02-24 14:50:38"
370;;;"Stadtbad Mitte James Simon";"Empfängerinnen und Empfänger von Arbeitslosengeld II, Sozialgeld, Sozialhilfe, Leistungen zur Grundsicherung im Alter, bei Erwerbsminderungen oder nach dem Asylbewerberleistungsgesetz (Nachweis erforderlich)";;Ermäßigungstarife;https://www.berlinerbaeder.de/;"Gartenstraße 5";"10115 Berlin";nein;Freizeit;"Erwachsene, Senioren, Familie";;;;;;;;"2025-12-02 15:22:34";"2025-02-24 14:50:39"
371;;;"Stadtbad Neukölln";"Empfängerinnen und Empfänger von Arbeitslosengeld II, Sozialgeld, Sozialhilfe, Leistungen zur Grundsicherung im Alter, bei Erwerbsminderungen oder nach dem Asylbewerberleistungsgesetz (Nachweis erforderlich)";;Ermäßigungstarife;https://www.berlinerbaeder.de/;"Ganghoferstraße 3";"12043 Berlin";nein;Freizeit;"Erwachsene, Senioren, Familie";;;;;;;;"2025-12-03 15:22:34";"2025-02-24 14:50:39"
372;;;"Stadtbad Spandau Nord";"Empfängerinnen und Empfänger von Arbeitslosengeld II, Sozialgeld, Sozialhilfe, Leistungen zur Grundsicherung im Alter, bei Erwerbsminderungen oder nach dem Asylbewerberleistungsgesetz (Nachweis erforderlich)";;Ermäßigungstarife;https://www.berlinerbaeder.de/;"Radelandstraße 1";"13589 Berlin";nein;Freizeit;"Erwachsene, Senioren, Familie";;;;;;;;"2025-12-04 15:22:34";"2025-02-24 14:50:39"
373;;;"Stadtbad Tempelhof";"Empfängerinnen und Empfänger von Arbeitslosengeld II, Sozialgeld, Sozialhilfe, Leistungen zur Grundsicherung im Alter, bei Erwerbsminderungen oder nach dem Asylbewerberleistungsgesetz (Nachweis erforderlich)";;Ermäßigungstarife;https://www.berlinerbaeder.de/;"Götzstraße 14-18";"12099 Berlin";nein;Freizeit;"Erwachsene, Senioren, Familie";;;;;;;;"2025-12-05 15:22:34";"2025-02-24 14:50:40"
374;;;"Stadtbad Wilmersdorf I";"Empfängerinnen und Empfänger von Arbeitslosengeld II, Sozialgeld, Sozialhilfe, Leistungen zur Grundsicherung im Alter, bei Erwerbsminderungen oder nach dem Asylbewerberleistungsgesetz (Nachweis erforderlich)";;Ermäßigungstarife;https://www.berlinerbaeder.de/;"Mecklenburgische Straße 80";"10713 Berlin";nein;Freizeit;"Erwachsene, Senioren, Familie";;;;;;;;"2025-12-06 15:22:34";"2025-02-24 14:50:40"
375;;;"Stadtbad Wilmersdorf II";"Empfängerinnen und Empfänger von Arbeitslosengeld II, Sozialgeld, Sozialhilfe, Leistungen zur Grundsicherung im Alter, bei Erwerbsminderungen oder nach dem Asylbewerberleistungsgesetz (Nachweis erforderlich)";;Ermäßigungstarife;https://www.berlinerbaeder.de/;"Fritz-Wildung-Straße 7";"14199 Berlin";nein;Freizeit;"Erwachsene, Senioren, Familie";;;;;;;;"2025-12-07 15:22:34";"2025-02-24 14:50:41"
376;;;"FEZ-Berlin in der Wuhlheide";"Empfängerinnen und Empfänger von Arbeitslosengeld II, Sozialgeld, Sozialhilfe, Leistungen zur Grundsicherung im Alter, bei Erwerbsminderungen oder nach dem Asylbewerberleistungsgesetz (Nachweis erforderlich)";;Ermäßigungstarife;https://www.berlinerbaeder.de/;"Straße zum FEZ 2";"12459 Berlin";nein;Freizeit;"Erwachsene, Senioren, Familie";;;;;;;;"2025-12-08 15:22:34";"2025-02-24 14:50:41"
377;;;"Kinderbad Marzahn (Platsch)";"Empfängerinnen und Empfänger von Arbeitslosengeld II, Sozialgeld, Sozialhilfe, Leistungen zur Grundsicherung im Alter, bei Erwerbsminderungen oder nach dem Asylbewerberleistungsgesetz (Nachweis erforderlich)";;Ermäßigungstarife;https://www.berlinerbaeder.de/;"Max-Hermann-Straße 7";"12687 Berlin";nein;Freizeit;"Erwachsene, Senioren, Familie";;;;;;;;"2025-12-09 15:22:34";"2025-02-24 14:50:42"
378;;;"Kinderbad Monbijou";"Empfängerinnen und Empfänger von Arbeitslosengeld II, Sozialgeld, Sozialhilfe, Leistungen zur Grundsicherung im Alter, bei Erwerbsminderungen oder nach dem Asylbewerberleistungsgesetz (Nachweis erforderlich)";;Ermäßigungstarife;https://www.berlinerbaeder.de/;"Oranienburger Straße 78";"10178 Berlin";nein;Freizeit;"Erwachsene, Senioren, Familie";;;;;;;;"2025-12-10 15:22:34";"2025-02-24 14:50:42"
